acn,reporter_function,reporter_ATC,reporter_GROUND,reporter_INSTRUCTION_EXAM,reporter_MAINT_SAFETY,reporter_OTH_CREW,reporter_OTH_UNKN,reporter_PILOT
1509149,ENROUTE,1,0,0,0,0,0,0
1509121,ENROUTE,1,0,0,0,0,0,0
1509104,SINGLE PILOT,0,0,0,0,0,0,1
1509055,INSTRUCTOR,0,0,0,0,0,0,1
1509028,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1509024,PILOT NOT FLYING,0,0,0,0,0,0,1
1509520,PILOT FLYING,0,0,0,0,0,0,1
1510785,SINGLE PILOT,0,0,0,0,0,0,1
1509499,CAPTAIN,0,0,0,0,0,0,1
1510799,LOCAL,0,0,0,0,0,1,0
1512142,FIRST OFFICER; PILOT FLYING,0,0,0,0,0,0,1
1512127,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1512113,FLIGHT ATTENDANT (ON DUTY),0,0,0,0,1,0,0
1512099,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1512094,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1512063,PILOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1512061,OTHER / UNKNOWN,0,0,0,0,0,1,0
1512059,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1512050,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1512046,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1512148,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1512041,PILOT FLYING,0,0,0,0,0,0,1
1511999,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1511993,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1511988,PILOT NOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1511962,PILOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1511930,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1511901,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1511898,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1511841,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1511832,OTHER / UNKNOWN,0,0,0,0,0,1,0
1511779,GATE AGENT / CSR,0,1,0,0,0,0,0
